Eritrocitos,Hemoglobina,Hematocrito,HCM,VGM,CHGM,Metarrubricitos,ProteinaPlasmatica,Leucocitos,Leucograma,Segmentados,Bastonetes,Blastos,Metamielocitos,Mielocitos,Linfocitos,Monocitos,Eosinofilos,Basofilos,Plaquetas,Diagnostico
6.67,11.32,41.95,22.78,42.19,34.59,1.1,6.03,6.6,377.64,31.675,1.43,1,1,1,1.324,1.024,0.624,0.202,405.2,10
7.19,10.71,34.84,27.91,59.6,34.45,0.45,7.46,7.63,305.6,28.289,0.2,0,0,0,1.108,0.575,0.65,0.125,544.5,12
8.72,14.32,42.74,20.2,47.08,31.72,0.83,7.87,6.19,269.94,20.193,0.94,3,1,1,2.402,0.676,0.43,0.14,591.6,10
7.32,8.74,35.02,24.86,51.44,33.56,1.93,8.07,7.06,139.11,60.684,1.15,1,0,0,4.893,0.733,0.391,0.139,301.6,4
6.45,8.38,33.34,21.79,45.12,30.13,1.74,8.0,9.63,387.14,50.874,1.47,0,1,0,2.212,0.475,0.492,0.091,479.1,18
6.03,8.52,29.91,25.92,46.49,30.53,1.44,8.38,6.08,142.38,27.712,0.98,2,0,1,4.801,0.487,0.292,0.117,275.2,14
8.46,12.15,28.85,22.03,55.55,34.36,1.73,7.64,4.6,264.77,60.777,1.21,1,0,0,4.321,0.343,0.319,0.126,775.8,12
8.09,9.04,29.74,25.18,49.68,32.02,0.38,7.86,6.03,362.93,53.712,0.12,0,1,0,4.417,0.563,0.755,0.171,375.1,18
7.86,10.87,38.74,20.59,50.82,31.47,0.17,7.82,10.71,114.72,39.948,0.35,3,0,1,3.882,0.527,0.338,0.02,739.3,2
8.92,12.55,39.93,29.82,41.84,33.55,0.33,6.21,7.87,198.2,52.936,1.44,1,1,0,1.086,1.037,0.274,0.105,257.8,15
6.15,8.47,27.94,28.35,48.81,34.09,1.66,7.69,10.18,162.3,37.35,0.89,0,1,1,2.967,0.789,0.503,0.209,491.4,5
8.76,13.51,40.43,29.44,44.66,35.84,1.24,8.2,8.39,358.71,28.956,1.19,3,1,0,1.276,0.584,0.113,0.266,430.1,9
9.68,11.87,41.43,24.79,44.17,30.69,1.45,8.07,10.03,315.37,62.232,0.23,2,0,0,2.762,0.46,1.029,0.003,270.4,3
9.67,11.53,30.98,24.05,47.51,35.22,1.62,8.16,8.13,298.48,35.581,0.62,0,1,1,3.613,0.767,0.446,0.295,629.9,13
8.11,10.83,33.67,28.79,52.5,30.31,0.97,6.71,10.21,301.35,53.499,1.17,2,1,0,1.912,0.851,0.313,0.105,897.0,9
9.63,14.79,42.23,27.46,48.8,35.14,0.74,6.76,4.6,192.24,28.346,0.85,0,0,0,3.848,0.806,0.308,0.069,594.7,19
9.39,14.75,37.74,22.29,47.15,30.22,1.44,7.68,7.41,150.77,57.231,0.45,0,1,0,4.894,0.604,0.891,0.205,498.5,7
7.38,12.6,38.76,29.75,52.15,30.54,1.98,7.6,7.91,350.89,50.767,0.7,2,0,0,1.551,0.873,0.7,0.09,325.6,10
7.37,9.99,38.64,21.91,58.21,32.07,0.67,7.09,5.83,365.91,53.162,0.82,3,1,1,3.205,0.624,0.386,0.019,361.1,17
5.63,9.35,38.54,20.18,40.4,31.85,1.9,6.09,5.22,260.09,36.026,0.96,2,0,0,4.792,0.8,1.151,0.085,506.4,6
7.86,12.75,31.87,21.91,49.01,35.49,0.06,6.14,6.37,344.29,61.976,0.31,3,0,0,2.87,0.472,0.448,0.291,659.7,10
6.83,10.28,27.13,27.82,57.02,30.02,1.63,6.92,6.86,266.71,28.333,0.53,0,0,1,3.887,1.102,0.4,0.033,330.1,2
6.7,11.72,27.94,22.2,52.38,30.82,0.54,7.22,10.56,147.32,48.323,0.49,2,1,0,3.799,0.647,0.847,0.235,260.9,4
6.15,10.47,24.08,26.25,58.28,32.39,0.93,6.8,7.3,376.47,31.383,0.89,3,1,1,1.8,1.071,1.135,0.179,365.6,19
8.28,8.95,35.75,21.21,52.12,31.62,1.68,7.15,8.96,292.94,32.413,0.47,0,0,0,3.6,0.858,0.303,0.047,322.2,5
7.83,10.95,44.11,28.85,52.85,35.69,0.75,6.98,9.93,161.31,32.075,0.12,1,0,0,3.666,0.904,0.733,0.28,258.8,10
8.26,13.11,41.86,29.58,48.47,34.03,1.36,6.74,11.46,113.89,39.817,0.49,3,1,1,2.235,0.405,0.369,0.054,661.7,9
5.87,12.72,31.22,21.79,51.69,32.99,0.89,6.5,10.36,333.52,35.451,1.08,2,1,1,4.653,1.011,1.085,0.257,507.9,17
6.7,11.54,40.85,27.62,54.03,32.12,1.09,7.99,10.63,276.17,49.813,1.46,1,1,0,1.876,0.858,0.455,0.118,545.5,13
8.68,11.14,42.7,21.71,44.56,30.08,1.21,6.81,8.14,197.59,42.272,0.6,0,0,0,4.268,0.419,0.239,0.162,510.5,5
9.63,8.06,41.38,28.14,49.66,31.56,1.71,6.63,4.72,282.48,64.363,1.39,0,0,0,2.638,0.703,0.386,0.217,897.5,17
9.82,10.16,28.36,26.84,44.36,34.05,0.61,7.39,6.46,196.64,24.371,0.44,1,1,0,2.277,1.041,0.274,0.164,484.9,2
8.82,11.95,33.82,28.24,54.12,35.1,0.68,7.84,6.94,353.02,51.251,1.38,2,1,1,1.059,0.811,0.934,0.245,889.4,9
6.92,10.64,43.23,23.07,55.62,34.92,1.56,7.82,11.98,278.73,58.977,0.04,1,0,1,2.569,0.695,0.648,0.027,771.5,11
9.06,14.79,28.55,27.52,58.13,32.49,0.9,7.64,10.15,247.15,45.883,0.23,1,1,1,2.277,0.351,0.392,0.151,272.4,9
