Eritrocitos,Hemoglobina,Hematocrito,HCM,VGM,CHGM,Metarrubricitos,ProteinaPlasmatica,Leucocitos,Leucograma,Segmentados,Bastonetes,Blastos,Metamielocitos,Mielocitos,Linfocitos,Monocitos,Eosinofilos,Basofilos,Plaquetas,Diagnostico
10.72,14.92,35.87,21.3,40.77,35.49,0.56,8.05,8.74,330.83,54.501,0.85,0,0,1,2.192,0.329,1.16,0.206,513.9,1
9.37,14.21,39.06,23.26,41.0,33.36,1.12,7.33,8.87,345.09,58.262,1.23,2,1,1,1.547,0.42,0.684,0.018,372.7,10
14.78,13.75,36.48,27.11,36.61,35.22,0.47,7.83,4.25,397.62,25.446,1.19,2,0,0,2.305,1.036,1.123,0.085,505.4,16
8.11,13.3,40.47,21.98,38.66,34.24,1.26,7.06,6.73,222.37,27.029,1.1,3,0,0,4.736,0.989,0.916,0.209,669.8,2
9.14,14.09,37.05,21.32,35.21,31.36,0.22,7.79,6.38,302.58,47.888,0.96,3,0,1,2.985,0.693,0.311,0.02,614.9,8
11.24,10.98,31.7,27.24,40.17,32.72,0.66,8.38,6.73,340.93,23.594,0.84,0,0,0,3.018,1.006,0.182,0.168,468.3,9
11.65,11.31,36.13,27.67,49.88,34.71,0.02,7.77,4.12,326.15,29.858,1.44,2,1,0,3.929,0.948,1.069,0.133,385.3,17
15.09,12.33,29.02,21.04,41.17,35.28,1.36,8.47,4.94,253.02,41.265,0.94,1,0,1,2.571,1.115,0.695,0.0,393.3,9
13.78,12.95,44.12,23.44,45.46,31.6,0.76,6.78,12.02,118.72,22.215,1.38,1,0,1,3.772,1.029,1.168,0.009,416.8,7
12.05,12.62,44.12,26.16,35.23,33.0,1.72,7.07,9.8,310.02,31.641,1.47,1,0,1,4.861,0.326,0.262,0.073,565.1,17
8.8,14.69,34.17,26.68,42.59,34.22,1.55,6.93,12.38,172.08,47.834,1.12,1,1,1,4.894,0.991,1.112,0.025,771.3,15
10.17,13.13,30.34,26.07,39.67,34.34,0.01,8.25,6.38,322.39,53.966,0.89,3,0,0,3.871,0.836,0.933,0.073,568.4,5
14.57,12.39,32.97,25.75,46.86,33.49,1.87,6.21,9.3,199.54,31.142,0.52,3,1,1,3.383,0.315,0.422,0.249,772.9,16
11.8,13.67,35.18,23.37,44.68,33.96,1.74,7.58,7.81,108.88,33.413,0.88,1,1,1,1.139,0.45,0.35,0.248,478.3,8
9.57,13.1,44.15,24.77,39.76,33.29,0.42,7.67,9.03,108.45,48.881,1.39,0,1,0,3.074,0.802,0.866,0.168,348.8,11
12.31,12.07,37.78,24.51,43.85,31.92,1.06,6.12,6.41,221.46,42.017,1.17,2,0,0,4.249,1.066,1.09,0.176,751.8,13
