Eritrocitos,Hemoglobina,Hematocrito,HCM,VGM,CHGM,Metarrubricitos,ProteinaPlasmatica,Leucocitos,Leucograma,Segmentados,Bastonetes,Blastos,Metamielocitos,Mielocitos,Linfocitos,Monocitos,Eosinofilos,Basofilos,Plaquetas,Diagnostico
6.65,11.08,49.23,14.33,43.08,37.44,0.55,7.87,6.78,228.25,41.797,1.01,3,0,1,2.867,0.953,0.57,0.178,471.3,19
7.81,13.31,42.72,14.6,48.59,37.12,0.83,6.36,10.42,277.56,61.319,0.91,2,0,0,2.23,0.344,1.173,0.083,242.6,1
8.17,11.16,43.23,17.69,43.86,34.07,0.12,6.66,9.38,219.76,56.615,1.17,2,1,0,2.149,0.838,0.493,0.181,322.2,7
9.29,12.4,35.64,18.83,47.2,33.01,1.69,7.53,5.01,380.56,48.942,0.4,3,1,0,2.08,0.843,0.408,0.274,198.3,19
10.06,15.89,35.18,14.38,52.32,35.54,0.34,7.89,10.54,109.39,68.396,1.26,1,1,0,3.53,0.614,1.087,0.089,573.0,5
10.13,16.35,45.72,16.17,43.64,34.97,1.62,7.41,6.42,367.23,48.719,0.29,3,0,1,2.965,0.511,1.105,0.003,354.2,15
8.8,12.62,41.24,15.81,52.98,32.07,0.61,7.61,8.07,313.69,52.029,1.45,3,0,1,2.799,0.342,0.934,0.074,459.2,16
6.56,12.65,48.64,15.02,51.85,32.45,1.54,6.59,7.88,387.01,37.505,0.91,1,1,1,2.801,0.847,0.394,0.041,584.0,19
9.52,14.82,35.17,18.02,52.63,32.08,0.47,7.02,8.28,274.95,42.365,0.45,3,1,0,4.307,0.907,1.078,0.281,476.8,1
11.96,15.81,44.76,17.22,50.67,34.94,1.9,6.07,8.46,123.18,31.285,0.5,3,0,0,1.807,0.545,0.883,0.223,199.0,16
11.92,11.31,36.4,17.96,54.08,36.04,1.59,7.94,8.57,181.04,40.194,0.6,3,1,0,4.912,0.303,0.468,0.123,546.5,2
10.87,12.49,49.23,17.88,52.78,34.55,1.0,7.94,11.99,233.1,62.983,1.37,3,1,1,3.9,0.936,0.149,0.115,452.2,7
