Eritrocitos,Hemoglobina,Hematocrito,HCM,VGM,CHGM,Metarrubricitos,ProteinaPlasmatica,Leucocitos,Leucograma,Segmentados,Bastonetes,Blastos,Metamielocitos,Mielocitos,Linfocitos,Monocitos,Eosinofilos,Basofilos,Plaquetas,Diagnostico
14.95,10.5,31.03,23.67,37.72,31.62,0.42,5.66,8.76,299.97,24.758,0.07,1,1,0,1.207,0.335,0.477,0.031,414.0,3
9.49,9.47,31.52,21.97,38.16,35.49,1.03,5.8,8.99,150.33,17.832,1.52,1,0,1,2.369,0.87,0.663,0.089,677.0,14
8.04,11.18,29.24,19.53,38.8,32.28,0.24,6.72,8.98,299.59,69.785,1.5,0,1,0,2.853,0.926,0.335,0.032,701.1,17
12.04,10.53,34.62,19.05,44.11,31.08,0.94,6.04,11.45,249.18,18.926,1.73,0,0,1,2.812,0.525,0.265,0.032,341.9,13
11.45,10.84,41.34,23.25,38.71,32.33,1.27,7.91,8.73,300.19,60.461,0.61,3,0,0,3.604,0.463,0.15,0.095,266.9,10
11.55,9.35,44.27,20.46,32.61,30.9,0.87,6.73,11.14,376.72,35.211,0.89,0,1,1,0.531,0.714,0.868,0.2,643.8,9
9.13,10.87,41.36,19.96,41.31,31.56,0.26,7.58,7.41,399.68,32.722,1.44,2,1,0,2.037,0.929,0.423,0.043,721.1,10
14.29,9.92,27.09,19.22,43.0,32.95,0.87,7.54,4.19,279.47,14.746,1.71,3,0,1,3.393,0.852,0.127,0.164,418.8,16
11.12,9.3,37.2,21.22,42.1,34.12,1.23,7.33,11.0,305.73,39.996,0.65,3,0,0,2.826,0.266,0.566,0.12,588.5,8
12.9,11.09,29.53,24.93,31.76,35.1,1.43,6.51,9.65,291.68,17.482,0.5,1,1,0,1.837,0.528,0.868,0.089,432.5,18
14.8,9.38,35.41,23.28,31.38,33.92,0.51,6.68,5.69,181.61,26.673,1.69,3,0,1,1.704,0.969,0.627,0.081,772.4,13
12.94,9.83,40.43,24.11,40.36,35.17,0.51,6.75,9.65,295.68,36.968,0.22,0,0,0,3.97,0.467,0.629,0.078,245.4,17
9.35,11.61,40.01,23.5,35.03,34.48,1.45,7.22,6.43,395.73,68.34,0.88,1,1,1,3.184,0.76,0.871,0.178,692.9,10
10.16,11.41,41.35,24.52,34.47,31.25,0.45,6.03,4.51,133.4,13.556,1.07,0,1,1,2.226,0.505,0.441,0.114,742.9,11
9.99,11.36,29.69,20.22,37.78,31.64,0.79,6.64,11.11,164.1,62.794,0.3,0,0,0,0.996,0.461,0.443,0.067,711.9,6
14.54,12.68,42.11,20.31,39.63,35.68,1.27,6.23,10.61,322.08,49.973,0.18,0,1,1,0.665,0.571,0.769,0.109,512.2,16
13.18,10.11,35.1,19.94,32.79,31.28,0.34,5.58,11.51,295.98,15.155,0.09,0,1,0,1.568,0.215,0.137,0.199,642.9,13
14.23,11.72,40.97,22.86,42.24,33.92,0.23,7.11,7.55,140.08,12.146,0.47,1,1,1,1.925,0.964,0.854,0.082,230.3,11
9.71,11.08,35.11,19.32,33.0,32.35,0.31,6.41,5.5,258.37,51.485,0.52,1,0,1,1.556,0.691,0.874,0.182,277.5,8
10.29,12.0,38.94,22.69,39.05,32.15,1.63,5.67,5.33,173.52,11.343,1.39,2,0,0,3.285,0.374,0.526,0.116,308.4,1
12.66,9.97,35.99,19.45,39.27,32.55,1.92,5.61,9.96,355.14,31.711,0.07,1,0,1,0.953,0.427,0.317,0.057,464.8,19
8.39,11.16,39.91,21.34,38.63,33.42,1.77,6.7,10.56,368.55,28.153,0.3,2,1,1,3.22,0.736,0.622,0.17,522.5,4
11.55,10.96,44.68,22.29,44.5,33.75,0.62,7.97,9.57,127.53,54.991,1.21,0,0,1,3.972,0.878,0.583,0.057,676.0,15
10.02,12.0,32.7,23.72,31.67,30.6,0.65,6.17,7.86,376.39,14.84,1.67,0,1,0,3.891,0.964,0.943,0.07,476.4,9
10.48,10.65,39.16,19.28,40.76,33.84,0.84,6.12,4.23,246.93,18.684,1.78,3,1,0,2.269,0.263,0.236,0.144,318.8,1
11.59,11.48,40.92,21.39,33.35,31.14,0.32,5.68,11.01,123.41,39.765,0.68,3,0,0,2.049,0.452,0.127,0.153,492.4,7
14.45,9.05,32.99,20.54,40.24,31.27,0.13,5.53,4.5,294.96,41.893,1.68,2,1,1,3.989,0.206,0.715,0.172,669.2,1
10.63,12.02,39.89,23.42,40.05,33.04,1.82,7.95,7.33,204.95,30.409,1.9,3,0,1,1.927,0.994,0.724,0.012,562.7,11
14.16,9.81,27.04,22.82,33.56,30.94,0.23,6.84,6.08,116.82,46.158,1.39,2,0,0,3.821,0.393,0.252,0.016,278.9,9
11.46,12.4,31.09,19.92,35.47,34.12,1.36,7.23,9.42,256.74,25.154,1.22,3,1,1,0.578,0.69,0.822,0.072,457.5,7
10.35,11.64,34.45,24.63,33.88,31.7,0.61,5.76,7.37,234.19,37.162,0.24,2,0,1,3.779,0.904,0.123,0.019,629.8,18
8.8,9.46,41.93,24.25,30.4,35.19,1.49,6.4,7.54,277.86,23.769,0.95,1,0,0,3.087,0.297,0.23,0.053,349.2,19
10.56,10.11,30.94,22.14,32.62,30.72,0.29,6.32,4.52,100.75,59.893,0.99,1,0,1,2.474,0.478,0.303,0.109,623.2,13
9.51,10.32,32.71,19.14,42.89,35.53,0.28,7.13,7.22,273.57,68.096,1.68,0,0,0,1.527,0.634,0.261,0.044,531.7,5
10.27,10.56,27.44,22.52,41.57,35.77,1.32,7.8,5.05,368.5,29.493,1.45,2,1,1,0.671,0.319,0.865,0.102,244.3,15
13.51,10.72,33.51,24.45,33.33,35.0,0.15,5.57,8.55,263.96,14.207,0.37,0,1,1,3.579,0.703,0.821,0.078,392.5,17
14.42,12.58,31.15,19.15,42.45,32.91,0.75,7.74,5.99,282.79,10.403,1.64,0,0,0,3.699,0.936,0.193,0.092,682.6,16
10.37,9.38,36.7,21.11,34.06,30.57,0.04,6.26,11.85,158.85,39.421,0.11,1,0,0,2.008,0.608,0.889,0.189,260.4,17
12.16,10.1,34.4,21.26,35.15,32.9,0.77,5.81,4.58,106.59,67.999,1.35,1,1,1,0.786,0.509,0.497,0.145,665.6,4
9.44,10.62,34.33,24.31,38.21,35.63,0.02,6.94,8.03,233.22,61.779,0.35,3,1,1,3.845,0.417,0.771,0.173,508.0,17
