Eritrocitos,Hemoglobina,Hematocrito,HCM,VGM,CHGM,Metarrubricitos,ProteinaPlasmatica,Leucocitos,Leucograma,Segmentados,Bastonetes,Blastos,Metamielocitos,Mielocitos,Linfocitos,Monocitos,Eosinofilos,Basofilos,Plaquetas,Diagnostico
0.874,7.82,33.84,22.7,341.27,34.44,0.48,3.45,3.22,146.1,37.971,0.13,2,1,0,0.727,0.521,0.481,0.136,136.7,12
0.778,8.61,16.44,25.62,211.72,30.3,0.69,3.09,5.98,229.3,16.539,0.34,1,1,0,2.246,0.97,0.838,0.072,53.0,18
0.722,8.31,20.44,20.69,223.92,31.81,0.95,5.71,2.29,194.39,32.818,0.38,0,0,1,0.619,0.601,0.624,0.131,106.1,6
0.839,8.76,29.93,26.9,315.36,30.8,0.97,4.95,5.7,144.65,29.209,0.48,0,1,0,1.372,0.233,0.781,0.001,171.4,11
0.893,7.28,26.04,24.35,291.24,28.17,0.94,4.06,5.83,115.94,42.722,0.23,0,0,1,2.53,0.227,0.18,0.057,71.3,12
0.783,8.49,32.25,25.96,247.28,33.98,0.61,5.02,9.64,129.78,17.485,0.43,0,1,0,2.754,0.127,0.974,0.122,61.3,5
0.815,9.08,34.93,23.62,318.05,32.53,0.51,5.45,5.51,163.92,24.666,0.1,2,0,0,0.504,0.104,0.968,0.147,158.0,12
0.507,9.58,30.77,21.9,346.02,33.49,0.37,4.13,9.49,135.06,44.312,0.01,0,1,1,1.376,0.93,0.825,0.103,72.2,4
0.5,8.04,23.82,25.33,206.78,30.02,0.19,4.52,7.61,146.47,22.279,0.43,0,1,1,2.125,0.426,0.17,0.036,124.0,17
0.664,7.05,31.79,21.5,335.78,32.9,0.79,3.53,4.23,88.41,33.129,0.19,0,1,1,2.157,0.625,0.987,0.094,132.8,6
0.604,7.93,27.41,26.51,208.86,29.63,0.52,5.37,2.47,281.79,37.325,0.12,0,1,1,2.673,0.442,0.287,0.194,54.0,16
0.426,5.71,22.46,23.28,232.07,34.26,0.88,3.86,7.81,153.11,44.462,0.18,0,0,0,3.676,0.7,0.543,0.164,123.3,18
0.788,6.89,17.87,27.98,244.71,29.31,0.56,4.93,7.01,294.89,32.821,0.39,0,0,0,1.424,0.228,0.857,0.18,101.5,8
